model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,111.70695740016734,105.56542448213133,67.79508199297172,130.6917270264614,115.5991823968386,73.1568722467395,0.04725303975810186,0.04477963383895289,0.03118201219354017
prophet,125.26813416908867,114.67242933339082,55.35431600532193,139.5088863059627,122.08616631614233,66.30373859682045,0.05065648771830457,0.048154011163714296,0.02107006851263678
xgb,56.31234249652794,57.15851392196316,10.231065444350728,71.66338294376956,73.27833220659916,13.277064802171699,0.023230843147266336,0.02326002270985994,0.004120721698223304
