date,yhat,lower,upper,model
2025-09-30,3545.41162109375,3484.849560060145,3605.973682127355,xgb
2025-12-31,3533.971435546875,3473.40937451327,3594.53349658048,xgb
2026-03-31,3525.606689453125,3465.04462841952,3586.16875048673,xgb
2026-06-30,3531.3349609375,3470.772899903895,3591.897021971105,xgb
