model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,403.9999554658649,349.5845781044559,228.73042109733979,467.5741147093565,418.0029141067529,259.34100269658717,0.04236437796853485,0.03482071458731599,0.02539728545871718
prophet,317.62041562138205,301.0609142659823,157.77958355140444,362.03629779168523,360.67435918510176,177.69501523328827,0.03289179384390729,0.03008530907256525,0.0170744453081333
xgb,458.51435019515236,494.7149031300455,142.8071016992606,484.72503233248773,509.3993171632806,144.2384683017428,0.04584363178596081,0.05037877431303808,0.013903662289819504
