date,prix_m2_median,n_transactions
2020-03-31,1770.1863354037266,7414
2020-06-30,1831.3553370786517,7556
2020-09-30,1881.720430107527,8758
2020-12-31,1867.4023850504054,10186
2021-03-31,1867.549668874172,7871
2021-06-30,1940.2985074626863,10067
2021-09-30,2020.0,11089
2021-12-31,1994.369171319424,9278
2022-03-31,1995.7234497505344,8301
2022-06-30,2033.1439393939393,9438
2022-09-30,2151.616033755274,10240
2022-12-31,2103.8651162790698,8111
2023-03-31,2090.7976827094476,6742
2023-06-30,2034.0238442577595,7090
2023-09-30,2061.820186183243,7446
2023-12-31,1923.076923076923,6656
2024-03-31,1903.225806451613,5331
2024-06-30,1918.91771019678,6306
2024-09-30,1970.59796178344,7603
2024-12-31,1937.9354021532615,7149
2025-03-31,1982.0624195624196,6722
2025-06-30,1978.2608695652173,4901
