model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,147.60828219987357,138.81704908256972,91.76210556857423,167.28099947644873,176.63407765384036,92.05711221018784,0.04133549589016588,0.03910039663481023,0.025250381037675438
prophet,188.80613384923734,145.89502007951705,124.54826285604285,214.14616757085773,211.56500078009782,130.74081932942514,0.05236794879064465,0.04008184422570703,0.033797095933686655
xgb,54.70615177671261,56.17116064214463,32.022399924205295,60.562061033604856,59.20236426518168,33.2941076005594,0.01566241745520227,0.016003492441390838,0.009117815325894984
