date,prix_m2_median,n_transactions
2020-03-31,3104.3125691116848,5281
2020-06-30,3075.0,4804
2020-09-30,3176.470588235294,6311
2020-12-31,3163.327475102519,7761
2021-03-31,3238.2420971472634,6033
2021-06-30,3353.4457142857145,7168
2021-09-30,3412.063492063492,8485
2021-12-31,3462.5,7057
2022-03-31,3478.713768115942,6394
2022-06-30,3525.798613742978,7048
2022-09-30,3706.3968531468527,8006
2022-12-31,3584.3682164672628,6374
2023-03-31,3614.705882352941,5345
2023-06-30,3558.878504672897,5445
2023-09-30,3488.372093023256,5753
2023-12-31,3360.172440688387,4694
2024-03-31,3336.0036363335157,3714
2024-06-30,3300.045,4158
2024-09-30,3360.75,5573
2024-12-31,3300.0,5121
2025-03-31,3242.473214285714,4890
2025-06-30,3228.5,3575
