trimestre,prix_m2
2020-01-01,2130.6209850107066
2020-04-01,2118.5526315789475
2020-07-01,2125.721226844822
2020-10-01,2133.8582677165355
2021-01-01,2178.4674953141957
2021-04-01,2238.805970149254
2021-07-01,2335.7664233576643
2021-10-01,2320.9264450887636
2022-01-01,2411.764705882353
2022-04-01,2468.1591245217423
2022-07-01,2548.3870967741937
2022-10-01,2497.685352428302
2023-01-01,2525.252525252525
2023-04-01,2514.705882352941
2023-07-01,2500.0
2023-10-01,2363.6363636363635
2024-01-01,2380.9523809523807
2024-04-01,2408.695652173913
2024-07-01,2415.510340091454
2024-10-01,2364.1104954847774
2025-01-01,2469.351332398317
2025-04-01,2477.722234296892
