model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,93.85619339848066,119.66936130867703,64.35034927434694,106.5806917856299,136.08548273560712,68.27196573833157,0.019888283377272057,0.025507410262801827,0.013599415025048418
prophet,130.5781954040756,104.85874794986967,71.48078853720988,146.98432027453592,154.66458530459005,77.70722590676729,0.02751226600482709,0.022148559703660305,0.014904215555563382
xgb,93.84929996725828,111.16588494018265,48.572383034563565,103.31118278052362,128.42343041344645,49.02591880488748,0.020199335527071878,0.023723508954764203,0.010503359715591569
