date,prix_m2_median,n_transactions
2020-03-31,10605.504587155963,7055
2020-06-30,10827.925846626611,6198
2020-09-30,10958.037228675097,6362
2020-12-31,10958.904109589042,7938
2021-03-31,10825.439783491203,6953
2021-06-30,10849.200278164117,8266
2021-09-30,10971.65101240652,8814
2021-12-31,10749.521425415993,7893
2022-03-31,10719.918224299065,7969
2022-06-30,10705.737704918032,9193
2022-09-30,10773.75479137263,9520
2022-12-31,10609.35799782372,7865
2023-03-31,10371.17903930131,7357
2023-06-30,10156.703424260011,7445
2023-09-30,10144.628099173557,7081
2023-12-31,9876.08962264151,6110
2024-03-31,9592.2539893617,5821
2024-06-30,9555.463232239304,6813
2024-09-30,9610.723842171972,6638
2024-12-31,9504.817487769342,6192
2025-03-31,9630.831460674155,7813
2025-06-30,9840.628675808048,2780
