model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,77.64595064176774,85.17204799106725,37.05485324717219,91.64695781548055,94.26622775196272,43.16641634074479,0.03994099989528822,0.04472005831617126,0.01965091819235855
prophet,164.12026373701366,158.45533300024226,75.4200190648247,180.42872917672318,172.66292313482126,82.6581576469869,0.08097574324165625,0.07658229113275289,0.03477535411863556
xgb,73.93566895959829,55.30707292288048,35.93001785135526,82.43508110203256,76.60838729277833,37.30619633639762,0.0372628189191742,0.027396650652916438,0.01770059054200029
