date,prix_m2_median,n_transactions
2020-03-31,3991.795593061416,5875
2020-06-30,3977.272727272728,5228
2020-09-30,3986.20986856281,6121
2020-12-31,4078.0475723604623,7206
2021-03-31,4119.010626331655,6060
2021-06-30,4133.333333333333,7371
2021-09-30,4238.784881667256,7605
2021-12-31,4302.088239912075,7181
2022-03-31,4368.691047492967,7119
2022-06-30,4428.988376033873,8218
2022-09-30,4553.453585569731,7845
2022-12-31,4562.638508669013,6859
2023-03-31,4651.162790697675,6427
2023-06-30,4672.8971962616815,6721
2023-09-30,4687.5,6011
2023-12-31,4590.537770332014,5482
2024-03-31,4642.677765356651,4782
2024-06-30,4672.131147540984,5379
2024-09-30,4716.981132075472,5642
2024-12-31,4774.774774774775,5687
2025-03-31,4777.95861427575,5607
2025-06-30,4767.184035476718,5489
