model,MAE_mean,MAE_median,MAE_std,RMSE_mean,RMSE_median,RMSE_std,SMAPE_mean,SMAPE_median,SMAPE_std
arima,123.0847903142882,144.00015965316902,65.55255608144857,137.70754015659233,148.43386046631105,75.71892776120926,0.03565848516864882,0.04220290271514744,0.01846516715659073
prophet,208.15581211275781,159.14096110527305,105.50853908211043,227.4338611453813,160.7195650438354,119.91335337528322,0.0599412141191699,0.04975519777063767,0.028120397176546262
xgb,106.35151295421012,82.04572993011129,59.60125484361018,116.891850107797,105.57571865999056,57.605569863524714,0.03103156320078179,0.023468892261541866,0.01704101416533215
