Model,R2_train,R2_test,ΔR2,MAE_train,MAE_test,ΔMAE,ΔMAE(%),RMSE_train,RMSE_test
RandomForest,0.9479826223846439,0.72360827561868,0.2243743467659639,22917.93844122051,59028.16371537149,36110.22527415098,157.56314804128561,49521.193680507415,113234.243747764
XGBoost,0.7303428281896194,0.703711477472957,0.02663135071666234,60115.909566190036,61933.82168497779,1817.9121187877536,3.024011666639027,112751.63939384036,117239.15521278998
LightGBM,0.6488133828227065,0.6432422378463569,0.005571144976349585,67244.62506959036,67528.80855906646,284.18348947609775,0.42261145657664223,128672.5347723325,128647.68684069235
CatBoost,0.6288937925621926,0.6229680736515708,0.005925718910621769,69892.87030543224,70046.03739542632,153.16708999408002,0.21914551416294534,132271.41116466973,132252.6337985778
LinearRegression,0.0701970289640893,0.06852078322882083,0.0016762457352684779,116674.99325476101,116693.5027017691,18.509447008094867,0.015864108059281654,209368.98243810012,207874.8031155315
Ridge,0.07019667783175354,0.0685204587891195,0.0016762190426340418,116674.97955246351,116693.48795289556,18.50840043205244,0.01586321292109594,209369.02197132123,207874.83931753793
