Feature,MeanAbsSHAP
longitude,0.20930327
latitude,0.20180213
surface_utilisee,0.19942735
surface_terrain,0.06900289
code_postal,0.058659222
code_departement,0.05612331
nombre_pieces_principales,0.055823985
code_commune,0.045854863
