Type,MAE,RMSE,R2,path
Maison,67093.1646347956,120285.87540557403,0.6766538511117035,C:\Users\cbent\Projets\data\outputs_modelisation\xgb_maison_optim.pkl
Appartement,49522.22375292575,103315.57023491141,0.7878552604791786,C:\Users\cbent\Projets\data\outputs_modelisation\xgb_appartement_optim.pkl
