Model,MAE,RMSE,R2
CatBoost,66574.14130632958,125305.39012610482,0.6615387348475994
XGBoost,97125.1022416282,190381.01257376542,0.2187019646029421
LightGBM,101866.76649957422,196057.59140204548,0.17141552175453445
LinearRegression,107136.63832315935,195495.99611797428,0.17615558489953886
Ridge,107173.63996662234,195563.1369614591,0.17558960801572565
RandomForest,107771.70927702925,207982.45384810658,0.06755577561094783
