id_mutation,numero_disposition,valeur_fonciere,surface_reelle_bati,surface_terrain,nombre_pieces_principales,type_local,latitude,longitude
2024-1253,1,120000.0,107.0,,3.0,Appartement,46.154308,5.604783
2024-1253,1,120000.0,,,0.0,Dépendance,46.154308,5.604783
2024-1253,1,120000.0,,,0.0,Dépendance,46.154308,5.604783
