id_mutation,valeur_fonciere,surface_reelle_bati,surface_terrain,nombre_pieces_principales,type_local,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,latitude,longitude
2024-1253,120000.0,107.0,,3.0,Appartement,90.68,28.8,,46.154308,5.604783
2024-1253,120000.0,,,0.0,Dépendance,90.68,28.8,,46.154308,5.604783
2024-1253,120000.0,,,0.0,Dépendance,90.68,28.8,,46.154308,5.604783
